name,brand,price_rub,price_kzt,seller,seller_id,seller_rating,seller_total_sold,seller_age_months,feedbacks,category,source_file,risk_level,publication_date,first_review_datetime
Умный тренажёр для ног бедер ягодиц,Q,846.0,5076.0,ВсёМаркет,250046174.0,4.3,0.0,28.0,0.0,тренажеры,all_products.csv,medium,2024-07-03,2024-07-10
Тренажер для спины и поясницы,,430.0,2580.0,Sheikh,250001281.0,4.6,0.0,12.0,0.0,тренажеры,all_products.csv,low,2025-04-26,2025-05-06
Универсальный тренажёр Эспандер,АТМ95,798.0,4788.0,MERI,250079034.0,4.7,0.0,22.0,0.0,тренажеры,all_products.csv,low,2025-05-07,2025-05-24
Степпер тренажер для ног бедер и ягодиц с эспандерами,EnergyFit,5008.0,30048.0,EnergyFit,4413375.0,4.9,58776.0,35.0,5937.0,тренажеры,all_products.csv,low,2023-09-25,2023-10-11
Металлический диск для коррекции фигуры,,612.0,3672.0,BRB SHOP,250075919.0,4.7,0.0,18.0,0.0,диски для скольжения,all_products.csv,low,2025-04-30,2025-05-13
"Набор фитнес резинок, ленточный тренажер от 3-39 кг",AleksTeam,959.0,5754.0,AleksTeam,1358048.0,4.6,0.0,38.0,0.0,тренажеры,all_products.csv,low,2024-09-10,2024-09-16
Тренажер степпер для дома,,3214.0,19284.0,AGEEVA,3958712.0,4.6,0.0,47.0,0.0,тренажеры,all_products.csv,low,2024-08-04,2024-08-07
Виброплатформа Shake Black фитнес тренажер плюс оригинал,GESS,7041.0,42246.0,REAL PRICE,250076008.0,4.7,0.0,42.0,0.0,тренажеры,all_products.csv,low,2023-08-09,2023-08-13
"Фитнес твистер с резинками тренажёр для ягодиц, талии и ног",ATS2,990.0,5940.0,LaraMix,250044203.0,4.5,0.0,8.0,0.0,тренажеры,all_products.csv,low,2025-06-01,2025-06-11
Диск здоровья вращающийся с эспандерами для похудения,TIDDO,989.0,5934.0,Мелочи для дома,250032597.0,4.5,0.0,13.0,0.0,тренажеры,all_products.csv,low,2025-10-09,2025-10-20
"Фитнес-диск твистер — для талии, пресса, рук и ягодиц",Ats,1074.0,6444.0,К17,250033239.0,4.6,0.0,2.0,0.0,тренажеры,all_products.csv,low,2025-11-23,2025-12-07
Диск здоровья металлический вращающийся фитнесс тренажер,ELITE / Диск здоровья,673.0,4038.0,ELITE SHOP,820028.0,4.6,10848.0,32.0,1130.0,диски балансировочные,all_products.csv,low,2024-03-19,2024-04-05
Эспандер кистевой для пальцев рук и предплечья,TSA company,586.0,3516.0,HDI shop,838389.0,4.7,0.0,26.0,0.0,эспандеры,all_products.csv,low,2024-08-10,2024-08-27
Тренажёр Smart Fitness,ДК,728.0,4368.0,BilionerШа,4462728.0,4.5,0.0,7.0,0.0,наборы для фитнеса,all_products.csv,low,2025-12-13,2025-12-18
Диск здоровья с эспандерами для похудения,LI Liza,989.0,5934.0,AVVIVA,250025950.0,4.4,0.0,2.0,0.0,тренажеры,all_products.csv,medium,2025-11-02,2025-11-11
Диск с эспандерами для домашнего фитнеса,хошана,1245.0,7470.0,Laki.st,480814.0,4.5,0.0,48.0,0.0,эспандеры,all_products.csv,low,2025-02-25,2025-03-05
Фитнес тренажер магнитный для снижение веса,,846.0,5076.0,molli5,4438131.0,4.2,18.0,22.0,2.0,тренажеры,all_products.csv,medium,2024-06-15,2024-06-30
Тренажер для спины,,1082.0,6492.0,Жансая,993625.0,4.5,0.0,18.0,0.0,ролики для пресса,all_products.csv,low,2024-09-17,2024-09-26
Тренажер для пресса и спины,Айгуль901,1782.0,10692.0,Макс,250053321.0,4.6,0.0,46.0,0.0,тренажеры,all_products.csv,low,2022-04-01,2022-04-10
Массажер для похудения спорт тренажер для тела и для ног,Спорт Степпер,9940.0,59640.0,Gentle Shop,834913.0,4.8,9.0,46.0,1.0,массажеры электрические,all_products.csv,low,2022-06-29,2022-07-07
Эспандер тренажер для похудения,НУНА,613.0,3678.0,Luna Luminosa,1173887.0,4.5,0.0,8.0,0.0,эспандеры,all_products.csv,low,2025-10-17,2025-10-28
Диск для талии и живота вращающийся с резинками,А514,912.0,5472.0,ПОДАРОК МАМЕ,4500626.0,4.6,0.0,32.0,0.0,эспандеры,all_products.csv,low,2024-08-14,2024-08-17
Легкий министеппер с эспандерами для дома и фитнеса,ZawieT,7464.0,44784.0,ZawieT,4577171.0,4.7,0.0,42.0,0.0,тренажеры,all_products.csv,low,2025-12-17,2025-12-25
"Тренажер для похудения, диск здоровья с эспандерами",РатиКарС,1154.0,6924.0,MagicaMundusStore,1382780.0,4.5,0.0,36.0,0.0,тренажеры,all_products.csv,low,2025-11-03,2025-11-09
Степпер тренажер для ног и ягодиц с эспандерами StepForce,PulseZone,7245.0,43470.0,YouSENS,672047.0,4.8,98.0,17.0,10.0,тренажеры,all_products.csv,low,2024-09-17,2024-09-27
Степпер для похудения тренажер для ног для рук для спорта,Спорт Степ платформа,3440.0,20640.0,Bonitas,4222884.0,4.8,323.0,36.0,33.0,тренажеры,all_products.csv,low,2024-08-24,2024-08-28
Диск здоровья с резинками и массажем,ТЕНГИ2,824.0,4944.0,А4,250047707.0,4.6,0.0,8.0,0.0,тренажеры,all_products.csv,low,2025-12-01,2025-12-14
"Тренажер для пресса, спины, рук, ног - ролики для пресса",Для фитнеса,1541.0,9246.0,SMART SHOP,999383.0,4.8,0.0,8.0,0.0,ролики для пресса,all_products.csv,low,2025-06-28,2025-07-06
Диск для талии с массажем и веревкой,ЛикТи,1032.0,6192.0,Золотой ключик,250020306.0,4.6,0.0,4.0,0.0,тренажеры,all_products.csv,low,2025-11-26,2025-12-10
"Виброплатформа степпер для похудения кардио, пульт",DEFENDER,3563.0,21378.0,Defender,51123.0,4.9,6583.0,6.0,665.0,массажеры электрические,all_products.csv,low,2025-07-20,2025-07-24
Универсальный тренажер для всех типов мишцы,Mega Mix,1416.0,8496.0,PREMIUM,250068885.0,4.7,0.0,31.0,0.0,тренажеры,all_products.csv,low,2025-11-25,2025-12-12
Фитнес тренажер,БиКей,665.0,3990.0,Euro Home,250068895.0,4.5,0.0,3.0,0.0,тренажеры,all_products.csv,low,2025-10-30,2025-11-13
Роликовый тренажёр для пресса и фитнеса с эспандером,КБ85,1417.0,8502.0,ИП Жумабаева,1143060.0,4.5,0.0,43.0,0.0,тренажеры,all_products.csv,low,2025-10-15,2025-10-19
Диск здоровья с эспандером для тренировки корпуса,ShopBenefit,964.0,5784.0,LIANA,1194283.0,4.5,0.0,23.0,0.0,тренажеры,all_products.csv,low,2025-11-02,2025-11-19
Фитнес тренажер для ног бедер и ягодиц,Фитнес дома,1017.0,6102.0,Акции и скидки,1226450.0,4.6,7267.0,15.0,757.0,тренажеры,all_products.csv,low,2025-05-12,2025-05-25
Тренажер для ног бёдер ягодиц многофункциональный,TAY.T,681.0,4086.0,Маркетон,250036934.0,4.6,0.0,14.0,0.0,тренажеры,all_products.csv,low,2025-11-12,2025-11-17
Диск твистер для похудения с резинками,Ананас,1015.0,6090.0,KIRIMARU,250066354.0,4.5,0.0,29.0,0.0,тренажеры,all_products.csv,low,2025-11-10,2025-11-27
Ролик для пресса тренажер,,3242.0,19452.0,ИП Aqberdi,4422386.0,4.4,0.0,2.0,0.0,ролики для пресса,all_products.csv,medium,2025-11-02,2025-11-14
Тренажер мостик для спины для осанки для позвоночника,,354.0,2124.0,Nur,250059350.0,4.7,9.0,32.0,1.0,тренажеры,all_products.csv,low,2024-01-17,2024-01-31
Ролик для пресса для улучшения пресса 200кг,,2070.0,12420.0,MixYou,250025666.0,4.8,0.0,35.0,0.0,ролики для пресса,all_products.csv,low,2023-11-10,2023-11-16
Универсальный тренажер-эспандер,DZHU15,1306.0,7836.0,Рыскуловна,250065462.0,4.7,0.0,16.0,0.0,эспандеры,all_products.csv,low,2025-10-01,2025-10-13
Тренажер для похудения для ног спины рук,TIDDO,485.0,2910.0,KIRIMARU,250066354.0,4.5,0.0,23.0,0.0,тренажеры,all_products.csv,low,2025-01-06,2025-01-15
Тренажер,БиКей,662.0,3972.0,DegterevaNata,250024298.0,4.5,0.0,9.0,0.0,тренажеры,all_products.csv,low,2025-08-21,2025-09-06
Универсальный диск здоровья стальной,,612.0,3672.0,BRB SHOP,250075919.0,4.7,0.0,4.0,0.0,диски для скольжения,all_products.csv,low,2025-10-30,2025-11-09
Диск здоровья универсальный металл,,612.0,3672.0,BRB SHOP,250075919.0,4.7,0.0,21.0,0.0,диски для скольжения,all_products.csv,low,2025-09-10,2025-09-13
Тренажер для тела Ревофлекс,Mooncat,2842.0,17052.0,Лучшие товары 2025,70962.0,4.8,0.0,41.0,0.0,тренажеры,all_products.csv,low,2024-09-15,2024-09-27
Эспандер тренажёр для тренировок дома,Brand Lana,736.0,4416.0,FORTUNA,250050815.0,4.5,0.0,35.0,0.0,эспандеры,all_products.csv,low,2025-06-17,2025-06-23
тренажер для ног степпер тренажер для дома с эспандерами,,4089.0,24534.0,Восточный Эксклюзив,250035543.0,4.3,0.0,11.0,0.0,тренажеры,all_products.csv,medium,2025-08-13,2025-08-21
Тренажёр для ягодиц и бёдер домашний фитнес,ас3493,838.0,5028.0,К17,250033239.0,4.6,0.0,24.0,0.0,тренажеры,all_products.csv,low,2024-05-11,2024-05-24
Эспандер для фитнеса 4-трубный тренажёр для дома пресса но,JA7,932.0,5592.0,NUNA Premium Line,250031562.0,4.4,0.0,5.0,0.0,тренажеры,all_products.csv,medium,2025-12-14,2025-12-25
Диск здоровья вращающийся фитнесс тренажер,Sport-trend,626.0,3756.0,NAB,1289239.0,4.7,252.0,11.0,26.0,диски балансировочные,all_products.csv,low,2025-07-04,2025-07-08
Ролик для пресса,,692.0,4152.0,Alim_toys,4064018.0,4.6,0.0,36.0,0.0,ролики для пресса,all_products.csv,low,2025-10-25,2025-10-28
Тренажёр-диск с эспандерами для тренировок похудения дома,LI Liza,824.0,4944.0,ЛЮМЕРА ШОП- вдохновляйся каждый день!,250066898.0,4.5,0.0,46.0,0.0,тренажеры,all_products.csv,low,2023-08-12,2023-08-25
Эспандер ленточный резинка для фитнеса,SPORT GURU,410.0,2460.0,SPORT GURU,395153.0,4.9,594.0,19.0,60.0,эспандеры,all_products.csv,low,2025-10-23,2025-11-09
Эспандер для фитнеса многофункциональный тренажер,,774.0,4644.0,Мир для дома,4105967.0,4.7,203.0,27.0,21.0,тренажеры,all_products.csv,low,2025-01-20,2025-02-03
